Waktu,PDB,Inflasi,Ekspor,Impor
31-03-2000,325958.6,0.3133333333,4713.1,2185
30-06-2000,336967.1,0.6333333333,5072.066667,2398.666667
30-09-2000,360701.6,0.5766666667,5579.966667,3123.3
31-12-2000,366142.6,1.473333333,5342.866667,3464.633333
31-03-2001,386648.8,0.6966666667,4713.1,3070.933333
30-06-2001,416069.9,1.086666667,5072.066667,2844.033333
30-09-2001,426828.3,0.85,5579.966667,2311.8
31-12-2001,416775,1.336666667,5342.866667,2093.933333
31-03-2002,436975.1,1.156666667,4273.466667,2210.966667
30-06-2002,450640.4,0.3066666667,4862.533333,2440
30-09-2002,472136.1,0.5466666667,5023.866667,2776.733333
31-12-2002,462081.8,1.196666667,4875.4,3001.933333
31-03-2003,496247.8,0.2566666667,5046.733333,2791.766667
30-06-2003,498023.8,0.15,5104.333333,2548.166667
30-09-2003,516103.7,0.41,5117.233333,2681.933333
31-12-2003,503299.3,0.8333333333,5076.533333,2828.366667
31-03-2004,536605.3,0.3033333333,5012.566667,3400.666667
30-06-2004,564422.1,0.7766666667,5598.966667,3586.966667
30-09-2004,595320.6,0.1666666667,6533.1,4179
31-12-2004,599478.2,0.83,6716.9,4341.533333
31-03-2005,632330.5,1.056666667,6626.2,4526.7
30-06-2005,670475.6,0.35,6956.7,4961.1
30-09-2005,713000.1,0.6733333333,7316.866667,5131.266667
31-12-2005,758474.9,3.323333333,7653.533333,4614.566667
31-03-2006,782752.9,0.6566666667,7484.033333,4442.333333
30-06-2006,812741.1,0.29,8155.033333,5200.6
30-09-2006,870319.8,0.3866666667,8878.633333,5592.066667
31-12-2006,873403,0.8033333333,9081.833333,5120.166667
31-03-2007,920203.1,0.6333333333,8527.3,5197.766667
30-06-2007,963862.5,0.05666666667,9426.033333,6037.933333
30-09-2007,1031408.7,0.7566666667,9717,6689.466667
31-12-2007,1035418.9,0.69,10363.33333,6899.3
31-03-2008,1110032.3,1.123333,11248.66667,9909.23333
30-06-2008,1220605.9,1.48,12216.83333,11807.1
30-09-2008,1327509.6,0.95,12423.93333,12179.63333
31-12-2008,1290540.6,0.176667,9784.03333,9169.8
31-03-2009,1315272,0.12,7676.36667,6364.56667
30-06-2009,1381407.4,-0.05333,9014.76667,7427.86667
30-09-2009,1458209.4,0.686667,10023.5,8969.06667
31-12-2009,1451314.6,0.163333,12122.06667,9514.9
31-03-2010,1505857,0.206667,11845.6,9987.06667
30-06-2010,1588847.7,0.47,12328.13333,10992.06667
30-09-2010,1670567.1,0.923333,12798.36667,11483.86667
31-12-2010,1681580.1,0.526667,15620.93333,12758.1
31-03-2011,1749386.9,0.233333,15129.16667,12931.6
30-06-2011,1822473.3,0.12,17742.83333,14928.73333
30-09-2011,1929006.2,0.623333,17869.9,15483.93333
31-12-2011,1918320.7,0.263333,17090.3,15800.96667
31-03-2012,1972890.8,0.293333,16171.66667,15249.03333
30-06-2012,2047705.9,0.3,16148.06667,16900.7
30-09-2012,2116302.1,0.553333,15343.4,15172.3
31-12-2012,2094027.1,0.256667,15676.93333,16574.96667
31-03-2013,2143260.1,0.803333,15138.56667,15216.86667
30-06-2013,2212148.1,0.3,15217.7,16253.33333
30-09-2013,2359100.3,1.353333,14292.8,15312.96667
31-12-2013,2372768,0.253333,16201.56667,15426.4
31-03-2014,2387055.8,0.47,14766.33333,14410.2
30-06-2014,2478081.7,0.19,14841.86667,15574.36667
30-09-2014,2622612.6,0.556667,14627.16667,14807
31-12-2014,2607178.8,1.476667,14424.6,14601.36667
31-03-2015,2728180.7,-0.14333,13017.23333,12243.7
30-06-2015,2867948.4,0.466667,13124.46667,12406
30-09-2015,2990645,0.423333,12260.06667,11346.56667
31-12-2015,2939558.7,0.363333,11720.33333,11568.56667
31-03-2016,2929269,0.2033333333,11236.9,10648.1
30-06-2016,3073536.7,0.15,12137.73333,11349.83333
30-09-2016,3205019,0.2966666667,11643.66667,10899.96667
31-12-2016,3193903.8,0.3433333333,13359.66667,12319.7
31-03-2017,3228172.2,0.3933333333,13577.4,12205.46667
30-06-2017,3366787.3,0.39,13088.33333,11904.9
30-09-2017,3504138.5,0.09333333333,14459.76667,13395.73333
31-12-2017,3490727.7,0.3066666667,15150.6,14822.4
31-03-2018,3510363.1,0.33,14739.76667,14652.83333
30-06-2018,3686836.4,0.3,14545.4,15031.03333
30-09-2018,3842343,0.01666666667,15702.03333,16575.1
31-12-2018,3799213.5,0.39,15016.96667,16644.46667
31-03-2019,3782618.3,0.1166666667,13754.83333,13738.96667
30-06-2019,3964074.7,0.5566666667,13194.4,13833.73333
30-09-2019,4067358,0.05333333333,14526.83333,14650.43333
31-12-2019,4018606.2,0.1666666667,14418.26667,14868.8
31-03-2020,3923347.9,0.2566666667,13903.26667,13056.33333
30-06-2020,3690742.2,0.11,11539.73333,10578.03333
30-09-2020,3897851.9,-0.06666666667,13567.13333,10925.6
31-12-2020,3931411.2,0.2666666667,15387.13333,12629.6
31-03-2021,3972769.6,0.1466666667,16318,14460.8
30-06-2021,4177970.8,0.09666666667,17976.63333,15885.86667
30-09-2021,4327358,0.02333333333,20477.2,16058.7
31-12-2021,4498592.4,0.3533333333,22431.36667,18991.26667
31-03-2022,4508597.8,0.4,22048.03333,18937.33333
30-06-2022,4897942.9,0.6533333333,24994.06667,19790.23333
30-09-2022,5066994.3,0.5333333333,26067.5,21101.3
31-12-2022,5114910.6,0.2133333333,24216.76667,19320.2
31-03-2023,5370656.13,0.2266666667,22381.6,18316.66667